TIME,BVP,ACCX,ACCY,ACCZ,GSR,ST,LAB
1.687500,-0.527436,28.000000,9.000000,56.000000,0.269047,34.410000,0.000000
1.703125,0.716674,28.000000,9.000000,56.000000,0.269047,34.410000,0.000000
1.718750,1.387755,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.734375,1.361818,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.750000,0.707126,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.765625,-0.331153,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.781250,-1.459621,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.796875,-2.426504,27.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.812500,-3.122404,28.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.828125,-3.536867,28.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.843750,-3.703497,28.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.859375,-3.633497,28.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.875000,-3.349146,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.890625,-2.878063,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.906250,-2.378212,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.921875,-2.086838,28.000000,8.000000,57.000000,0.269047,34.410000,0.000000
1.937500,-2.243534,28.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.953125,-2.967117,28.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.968750,-4.059441,28.000000,9.000000,57.000000,0.269047,34.410000,0.000000
1.984375,-5.136799,28.000000,9.000000,57.000000,0.269047,34.410000,0.000000
2.000000,-5.749487,27.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.015625,-5.617351,27.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.031250,-4.824440,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.046875,-3.769421,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.062500,-2.897293,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.078125,-2.455051,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.093750,-2.388367,28.000000,9.000000,56.000000,0.269047,34.370000,0.000000
2.109375,-2.392433,28.000000,9.000000,56.000000,0.269047,34.370000,0.000000
2.125000,-2.165192,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.140625,-1.646667,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.156250,-1.047501,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.171875,-0.686291,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.187500,-0.800221,28.000000,9.000000,56.000000,0.269047,34.370000,0.000000
2.203125,-1.321396,28.000000,9.000000,56.000000,0.269047,34.370000,0.000000
2.218750,-1.968548,28.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.234375,-2.452404,28.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.250000,-2.640839,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.265625,-2.668434,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.281250,-2.776238,28.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.296875,-3.133575,28.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.312500,-3.702511,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.328125,-4.304371,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.343750,-4.711273,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.359375,-4.871952,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.375000,-4.865570,27.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.390625,-4.811638,27.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.406250,-4.785236,27.000000,9.000000,56.000000,0.269047,34.370000,0.000000
2.421875,-4.698891,27.000000,9.000000,56.000000,0.269047,34.370000,0.000000
2.437500,-4.418495,28.000000,10.000000,55.000000,0.269047,34.370000,0.000000
2.453125,-3.919830,28.000000,10.000000,55.000000,0.269047,34.370000,0.000000
2.468750,-3.355072,28.000000,10.000000,56.000000,0.269047,34.370000,0.000000
2.484375,-2.980316,28.000000,10.000000,56.000000,0.269047,34.370000,0.000000
2.500000,-3.046474,28.000000,9.000000,56.000000,0.270328,34.370000,0.000000
2.515625,-3.547333,28.000000,9.000000,56.000000,0.270328,34.370000,0.000000
2.531250,-4.237236,28.000000,9.000000,57.000000,0.270328,34.370000,0.000000
2.546875,-4.778347,28.000000,9.000000,57.000000,0.270328,34.370000,0.000000
2.562500,-4.890312,28.000000,8.000000,57.000000,0.270328,34.370000,0.000000
2.578125,-4.505829,28.000000,8.000000,57.000000,0.270328,34.370000,0.000000
2.593750,-3.722958,28.000000,8.000000,57.000000,0.270328,34.370000,0.000000
2.609375,-2.667080,28.000000,8.000000,57.000000,0.270328,34.370000,0.000000
2.625000,-1.359333,28.000000,7.000000,58.000000,0.270328,34.370000,0.000000
2.640625,0.196232,28.000000,7.000000,58.000000,0.270328,34.370000,0.000000
2.656250,1.940384,28.000000,7.000000,58.000000,0.270328,34.370000,0.000000
2.671875,3.623665,28.000000,7.000000,58.000000,0.270328,34.370000,0.000000
2.687500,4.819763,28.000000,7.000000,58.000000,0.270328,34.370000,0.000000
2.703125,5.164681,28.000000,7.000000,58.000000,0.270328,34.370000,0.000000
2.718750,4.531818,27.000000,7.000000,58.000000,0.270328,34.370000,0.000000
2.734375,3.208881,27.000000,7.000000,58.000000,0.270328,34.370000,0.000000
2.750000,1.757309,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.765625,0.763565,27.000000,8.000000,57.000000,0.269047,34.370000,0.000000
2.781250,0.568191,27.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.796875,1.101791,27.000000,9.000000,57.000000,0.269047,34.370000,0.000000
2.812500,1.958713,27.000000,10.000000,55.000000,0.269047,34.370000,0.000000
2.828125,2.603912,27.000000,10.000000,55.000000,0.269047,34.370000,0.000000
2.843750,2.641998,27.000000,10.000000,55.000000,0.269047,34.370000,0.000000
2.859375,1.914890,27.000000,10.000000,55.000000,0.269047,34.370000,0.000000
2.875000,0.640938,27.000000,10.000000,55.000000,0.269047,34.370000,0.000000
2.890625,-0.742752,27.000000,10.000000,55.000000,0.269047,34.370000,0.000000
2.906250,-1.776123,27.000000,9.000000,55.000000,0.269047,34.370000,0.000000
2.921875,-2.159019,27.000000,9.000000,55.000000,0.269047,34.370000,0.000000
2.937500,-1.874474,28.000000,8.000000,56.000000,0.269047,34.370000,0.000000
2.953125,-1.132027,28.000000,8.000000,56.000000,0.269047,34.370000,0.000000
2.968750,-0.251137,28.000000,7.000000,58.000000,0.269047,34.370000,0.000000
2.984375,0.543228,28.000000,7.000000,58.000000,0.269047,34.370000,0.000000
3.000000,1.159355,28.000000,7.000000,58.000000,0.267766,34.370000,0.000000
3.015625,1.632233,28.000000,7.000000,58.000000,0.267766,34.370000,0.000000
3.031250,1.937767,28.000000,7.000000,58.000000,0.267766,34.370000,0.000000
3.046875,1.968323,28.000000,7.000000,58.000000,0.267766,34.370000,0.000000
3.062500,1.594750,28.000000,7.000000,58.000000,0.267766,34.370000,0.000000
3.078125,0.744453,28.000000,7.000000,58.000000,0.267766,34.370000,0.000000
3.093750,-0.449158,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.109375,-1.750214,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.125000,-2.864807,27.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.140625,-3.606995,27.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.156250,-3.902000,27.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.171875,-3.825035,27.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.187500,-3.523315,27.000000,10.000000,56.000000,0.267766,34.370000,0.000000
3.203125,-3.128990,27.000000,10.000000,56.000000,0.267766,34.370000,0.000000
3.218750,-2.792458,28.000000,10.000000,55.000000,0.267766,34.370000,0.000000
3.234375,-2.611649,28.000000,10.000000,55.000000,0.267766,34.370000,0.000000
3.250000,-2.677536,28.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.265625,-2.982857,28.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.281250,-3.388153,28.000000,8.000000,56.000000,0.267766,34.370000,0.000000
3.296875,-3.649994,28.000000,8.000000,56.000000,0.267766,34.370000,0.000000
3.312500,-3.560135,28.000000,8.000000,56.000000,0.267766,34.370000,0.000000
3.328125,-3.012520,28.000000,8.000000,56.000000,0.267766,34.370000,0.000000
3.343750,-2.040596,28.000000,8.000000,57.000000,0.267766,34.370000,0.000000
3.359375,-0.891487,28.000000,8.000000,57.000000,0.267766,34.370000,0.000000
3.375000,0.188454,28.000000,8.000000,57.000000,0.267766,34.370000,0.000000
3.390625,1.015747,28.000000,8.000000,57.000000,0.267766,34.370000,0.000000
3.406250,1.502808,28.000000,8.000000,57.000000,0.267766,34.370000,0.000000
3.421875,1.720276,28.000000,8.000000,57.000000,0.267766,34.370000,0.000000
3.437500,1.844742,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.453125,2.035431,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.468750,2.388939,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.484375,2.857452,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.500000,3.263329,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.515625,3.460220,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.531250,3.380981,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.546875,3.066040,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.562500,2.654022,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.578125,2.241776,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.593750,1.855164,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.609375,1.448952,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.625000,0.930008,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.640625,0.172203,28.000000,9.000000,57.000000,0.267766,34.370000,0.000000
3.656250,-0.887131,28.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.671875,-2.263748,28.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.687500,-3.809654,28.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.703125,-5.170586,28.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.718750,-5.824890,28.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.734375,-5.352348,28.000000,9.000000,56.000000,0.267766,34.370000,0.000000
3.750000,-3.595779,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.765625,-0.817589,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.781250,2.234390,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.796875,4.638321,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
