148405873 ;23;-2751.0;-3067.0;-1207.0;-3400.0;1562.0;-4001.0;55.0;53.0;7.0;64;54;
148405881 ;24;-2987.0;-3230.0;-2559.0;-3341.0;1908.0;-4046.0;55.0;53.0;7.0;204;64;
148405935 ;25;-3398.0;-3246.0;-2919.0;-3310.0;1645.0;-4508.0;51.0;57.0;17.0;8;172;
148405937 ;26;-3078.0;-3482.0;-4286.0;-2578.0;367.0;-4680.0;51.0;57.0;17.0;47;59;
148405938 ;27;-2358.0;-3379.0;-4762.0;-1952.0;-821.0;-4293.0;36.0;64.0;24.0;220;190;
148405944 ;28;-1511.0;-3456.0;-4078.0;-1840.0;-2320.0;-4095.0;36.0;64.0;24.0;232;230;
148405948 ;29;-2440.0;-3339.0;-822.0;-2207.0;-3555.0;-4362.0;25.0;69.0;29.0;40;168;
148405949 ;30;-1438.0;-3712.0;741.0;-2589.0;-3685.0;-4744.0;25.0;69.0;29.0;64;146;
148405954 ;31;963.0;-3700.0;1313.0;-2663.0;-2991.0;-4317.0;10.0;66.0;38.0;9;199;
148405985 ;32;2709.0;-772.0;1913.0;-3422.0;-1887.0;-3869.0;10.0;66.0;38.0;211;159;
148405988 ;33;2131.0;386.0;1344.0;-4125.0;-1087.0;-3435.0;-1.0;71.0;39.0;239;167;
148405989 ;34;747.0;-401.0;228.0;-4351.0;493.0;-3187.0;-1.0;71.0;39.0;84;136;
148405993 ;35;606.0;-1990.0;-1351.0;-3659.0;1389.0;-3089.0;-10.0;68.0;48.0;245;153;
148406001 ;36;-723.0;-2748.0;-3246.0;-2788.0;1520.0;-2395.0;-10.0;68.0;48.0;0;252;
148406033 ;37;-1128.0;-1480.0;-3948.0;-1723.0;1307.0;-1816.0;-18.0;58.0;58.0;55;105;
148406035 ;38;-758.0;-1181.0;-3658.0;-765.0;1086.0;-1330.0;-18.0;58.0;58.0;199;197;
148406105 ;39;6.0;-1960.0;-3825.0;142.0;1145.0;-860.0;-23.0;59.0;67.0;246;144;
148406108 ;41;2048.0;-1432.0;-2830.0;1820.0;1450.0;148.0;-33.0;57.0;61.0;61;155;
148406114 ;43;2949.0;-785.0;-783.0;2837.0;1195.0;1530.0;-30.0;58.0;58.0;222;194;
148406115 ;45;3028.0;-613.0;1305.0;3082.0;1460.0;2859.0;-26.0;62.0;46.0;66;60;
148406144 ;46;2641.0;-861.0;1628.0;2937.0;1848.0;3434.0;-26.0;62.0;46.0;63;121;
148406146 ;47;1949.0;-1371.0;1903.0;2914.0;2015.0;3780.0;-17.0;61.0;43.0;141;213;
148406151 ;48;1206.0;-1972.0;1656.0;2935.0;2337.0;3966.0;-17.0;61.0;43.0;101;65;
148406153 ;49;188.0;-2325.0;1427.0;2580.0;2700.0;4007.0;-11.0;67.0;35.0;84;118;
148406160 ;50;-1448.0;-3685.0;2166.0;2211.0;3685.0;4109.0;-11.0;67.0;35.0;77;25;
148406161 ;51;-3181.0;-4845.0;1671.0;2234.0;4779.0;3643.0;8.0;66.0;30.0;160;108;
148406164 ;52;-3267.0;-6319.0;-1617.0;2281.0;4570.0;3335.0;8.0;66.0;30.0;198;68;
148406193 ;53;-7387.0;-5798.0;-2251.0;2453.0;3501.0;2724.0;15.0;67.0;23.0;69;97;
148406195 ;54;-13046.0;-3184.0;3048.0;2201.0;3166.0;889.0;15.0;67.0;23.0;157;185;
148406196 ;55;-12110.0;-659.0;3387.0;1303.0;1500.0;-222.0;24.0;64.0;26.0;37;141;
148406201 ;56;-12314.0;-1734.0;5582.0;267.0;315.0;-1362.0;24.0;64.0;26.0;143;5;
148406235 ;57;-10983.0;-4535.0;6089.0;-303.0;-643.0;-2004.0;17.0;65.0;19.0;58;158;
148406236 ;58;-7932.0;-5396.0;5016.0;-1328.0;-1878.0;-2806.0;17.0;65.0;19.0;154;188;
148406238 ;59;-4452.0;-4755.0;2816.0;-2109.0;-3014.0;-3399.0;13.0;71.0;23.0;82;4;
148406246 ;60;-1901.0;-3611.0;1670.0;-2618.0;-3052.0;-3762.0;13.0;71.0;23.0;192;216;
148406253 ;61;758.0;-3374.0;184.0;-2693.0;-2670.0;-4130.0;3.0;63.0;29.0;254;130;
148406280 ;62;3880.0;-3249.0;-1354.0;-2748.0;-2617.0;-3905.0;3.0;63.0;29.0;148;46;
148406283 ;63;6539.0;-3957.0;-2790.0;-2344.0;-2314.0;-3269.0;-1.0;67.0;37.0;229;147;
148406284 ;64;6830.0;-3883.0;-2840.0;-2021.0;-2684.0;-2716.0;-1.0;67.0;37.0;30;130;
148406293 ;65;5102.0;-3752.0;-3140.0;-1579.0;-3138.0;-2252.0;-17.0;67.0;39.0;102;166;
148406301 ;66;3021.0;-3861.0;-3700.0;-1143.0;-3549.0;-1549.0;-17.0;67.0;39.0;121;21;
148406329 ;67;3363.0;-3961.0;-4020.0;-522.0;-3697.0;-446.0;-20.0;62.0;42.0;86;66;
148406331 ;68;4366.0;-3833.0;-4285.0;428.0;-3093.0;747.0;-20.0;62.0;42.0;130;112;
148406334 ;69;4734.0;-3465.0;-4002.0;1425.0;-1557.0;1400.0;-17.0;63.0;49.0;11;205;
148406341 ;70;4692.0;-3185.0;-3733.0;2355.0;7.0;1753.0;-17.0;63.0;49.0;52;48;
148406385 ;71;4347.0;-3017.0;-3551.0;3210.0;1208.0;2155.0;-16.0;64.0;44.0;218;172;
148406388 ;72;3558.0;-2801.0;-3339.0;3982.0;2095.0;2571.0;-16.0;64.0;44.0;148;176;
148406389 ;73;2850.0;-2748.0;-2989.0;4667.0;2713.0;3037.0;-13.0;65.0;35.0;78;94;
148406394 ;74;2140.0;-2819.0;-2249.0;5286.0;3120.0;3432.0;-13.0;65.0;35.0;184;120;
148406395 ;75;1756.0;-2751.0;-875.0;5741.0;2941.0;3758.0;2.0;62.0;24.0;61;239;
148406403 ;76;1235.0;-2825.0;1042.0;6045.0;2276.0;4046.0;2.0;62.0;24.0;35;39;
148406411 ;77;807.0;-2423.0;3048.0;5968.0;1681.0;4351.0;9.0;61.0;13.0;115;217;
148406423 ;78;448.0;-1906.0;4458.0;5547.0;328.0;4811.0;9.0;61.0;13.0;115;191;
