,dur_max,dur_mean,dur_min,latency,n_peak,pha_auc,pha_max,pha_mean,pha_min,pha_std,pks_max,pks_mean,pks_min,slp_max,slp_mean,slp_min
450.0,,,,,0,-0.0005646902842509796,0.0007116163025254751,-0.0005646902842509796,-0.0016066891107203718,0.0005503917925482673,,,,,,
455.0,,,,,0,-0.000553656266061544,0.0010318119045433782,-0.000553656266061544,-0.001716734687868926,0.0006133751263681327,,,,,,
460.0,,,,,0,-0.0005778142914423354,0.0010318119045433782,-0.0005778142914423354,-0.001716734687868926,0.0006717103333336379,,,,,,
465.0,,,,,0,-0.0004444123614116862,0.0010318119045433782,-0.0004444123614116862,-0.001716734687868926,0.000746923562498028,,,,,,
470.0,,,,,0,-0.0005326112898353426,0.0010318119045433782,-0.0005326112898353426,-0.0024095865378356285,0.0008330558879271311,,,,,,
475.0,,,,,0,-0.00043156621894557823,0.0010318119045433782,-0.00043156621894557823,-0.0024095865378356285,0.0008510874077068803,,,,,,
480.0,,,,,0,-0.0006034923948296184,0.0010055721816861762,-0.0006034923948296184,-0.002651086248527279,0.0009114058122527076,,,,,,
485.0,,,,,0,0.0008682481763426028,0.011504712806222228,0.0008682481763426028,-0.002651086248527279,0.0035464785787416306,,,,,,
490.0,1.5,1.5,1.5,18.0,1,0.0002388964678177716,0.15355741641359144,0.0002388964678177716,-0.16582987171528907,0.04464206509966522,0.15355741641359144,0.15355741641359144,0.15355741641359144,0.5160060330942999,0.5160060330942999,0.5160060330942999
495.0,1.5,1.5,1.5,13.0,1,0.001801656927142422,0.15355741641359144,0.001801656927142422,-0.16582987171528907,0.04475986191363874,0.15355741641359144,0.15355741641359144,0.15355741641359144,0.5160060330942999,0.5160060330942999,0.5160060330942999
500.0,1.5,1.5,1.5,8.0,1,0.0018345678599577875,0.15355741641359144,0.0018345678599577875,-0.16582987171528907,0.04475950392301967,0.15355741641359144,0.15355741641359144,0.15355741641359144,0.5160060330942999,0.5160060330942999,0.5160060330942999
505.0,1.5,1.5,1.5,3.0,1,0.0006004511299256398,0.15355741641359144,0.0006004511299256398,-0.16582987171528907,0.04469326820604814,0.15355741641359144,0.15355741641359144,0.15355741641359144,0.5160060330942999,0.5160060330942999,0.5160060330942999
510.0,,,,,0,0.0013258156796978277,0.012872082070343072,0.0013258156796978277,-0.003250544873734551,0.003989325543285627,,,,,,
