TIME,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,LAB
26.630000,-1158.000000,3887.000000,635.000000,-12.000000,49.000000,39.000000,-13.000000,-205.000000,-41.000000,3.000000
26.640000,-1183.000000,3890.000000,660.000000,-15.000000,50.000000,36.000000,-13.000000,-205.000000,-41.000000,3.000000
26.650000,10550.000000,-5399.000000,14472.000000,-826.000000,6198.000000,-1888.000000,-86.000000,-226.000000,26.000000,4.000000
26.660000,11575.000000,11395.000000,21581.000000,-115.000000,11474.000000,1337.000000,-86.000000,-226.000000,26.000000,4.000000
26.670000,-4096.000000,4077.000000,19607.000000,-6297.000000,6761.000000,-2438.000000,27.000000,49.000000,-63.000000,4.000000
26.680000,-12980.000000,5082.000000,20328.000000,-8170.000000,890.000000,832.000000,27.000000,49.000000,-63.000000,4.000000
26.690000,-4655.000000,7478.000000,6647.000000,-9217.000000,-4702.000000,1878.000000,38.000000,60.000000,-48.000000,4.000000
26.700000,9996.000000,36.000000,-2530.000000,-10943.000000,-5734.000000,3624.000000,38.000000,60.000000,-48.000000,4.000000
26.710000,12292.000000,-4673.000000,-8601.000000,-11189.000000,-7649.000000,3109.000000,39.000000,71.000000,-19.000000,4.000000
26.720000,9029.000000,-6896.000000,-6190.000000,-9080.000000,-1571.000000,5485.000000,39.000000,71.000000,-19.000000,4.000000
26.730000,1431.000000,-2493.000000,-7644.000000,-6817.000000,3318.000000,4683.000000,39.000000,67.000000,-5.000000,4.000000
26.740000,-4521.000000,-662.000000,-6721.000000,-6469.000000,5217.000000,1851.000000,39.000000,67.000000,-5.000000,4.000000
26.750000,-10086.000000,-3105.000000,-4568.000000,-7163.000000,2451.000000,836.000000,62.000000,66.000000,22.000000,4.000000
26.760000,-12278.000000,-5838.000000,-3850.000000,-8705.000000,-4663.000000,2445.000000,62.000000,66.000000,22.000000,4.000000
26.770000,-9102.000000,-1650.000000,-4667.000000,-8288.000000,-7167.000000,4257.000000,60.000000,56.000000,42.000000,4.000000
