# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
1.001229335205543469e+00,2.501214997166761878e-01,5.000000000000000000e+00,5.000000000000000000e-01,6.753620455301340364e+00,2.500000000000000000e+00,1.151376265633237972e-01,1.750000000000000000e+00,1.428571428571428603e+00,3.502424777055914262e+00,3.426605663554638248e-02,-3.458945804158630732e-02,5.525448629424680597e-02,3.732365797053838197e-02,2.501214997166761878e-01,3.426605663554638248e-02
3.507465420709411141e+00,2.501214997166761878e-01,5.000000000000000000e+00,5.000000000000000000e-01,9.500002910335176409e+00,1.500000000000000000e+00,8.483532040630492599e-02,0.000000000000000000e+00,1.149999999999999911e+00,5.189394319992203464e+00,2.315057140250621065e-02,-2.244258431065415671e-02,4.774534121894434546e-02,2.986333970656873671e-02,2.501214997166761878e-01,2.315057140250621065e-02
5.000599782104674373e-01,6.063675497684550830e-02,2.000000000000000000e+00,1.000000000000000000e+00,5.014578458206444544e-01,1.250000000000000000e+00,4.525004734170712251e-02,7.500000000000000000e-01,1.125000000000000000e+00,5.007589120155560014e-01,5.997316183062225900e-03,-1.104152335633024062e-02,1.180306979857743792e-02,2.986333970656873671e-02,6.063675497684550830e-02,5.997316183062225900e-03
0.000000000000000000e+00,2.193817469259873310e-02,3.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,1.306117070759094112e-02,1.600000000000000000e+01,5.000000000000000000e-01,0.000000000000000000e+00,8.840810517212472340e-05,-1.735003484236785631e-02,7.257502934089599816e-03,8.498998862287776568e-03,2.193817469259873310e-02,8.840810517212472340e-05
2.500028797199694286e-01,2.675446616645016373e-02,4.000000000000000000e+00,5.000000000000000000e-01,2.500028797199694286e-01,7.500000000000000000e-01,1.648449457230574677e-02,6.000000000000000000e+00,6.250000000000000000e-01,2.500028797199694286e-01,-2.040975487216198261e-04,-1.735003484236785631e-02,1.092527395422285795e-02,8.498998862287776568e-03,4.913742371025586753e-02,-2.040975487216198261e-04
2.500028797199694286e-01,1.264202810033808744e-01,2.000000000000000000e+00,7.500000000000000000e-01,5.059373874615212818e-01,1.750000000000000000e+00,7.658737358491551905e-02,5.000000000000000000e+00,1.250000000000000000e+00,3.779701335907453830e-01,8.310262380862021292e-03,-1.225550815857856524e-02,2.543983658500952039e-02,2.675446616645016373e-02,1.264202810033808744e-01,8.310262380862021292e-03
0.000000000000000000e+00,1.264202810033808744e-01,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,7.440493167634529281e-02,2.500000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,7.916377600961905722e-03,-8.853865270671223975e-03,2.446168679709788060e-02,2.238958234930971125e-02,1.264202810033808744e-01,7.916377600961905722e-03
0.000000000000000000e+00,2.238958234930971125e-02,1.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,2.238958234930971125e-02,6.500000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,7.041226339637212056e-04,-8.853865270671223975e-03,6.338248188356412384e-03,2.238958234930971125e-02,2.238958234930971125e-02,7.041226339637212056e-04
5.115040349168856748e-01,1.624094397813009016e-01,1.000000000000000000e+00,2.250000000000000000e+00,5.115040349168856748e-01,2.250000000000000000e+00,1.624094397813009016e-01,1.725000000000000000e+01,2.250000000000000000e+00,5.115040349168856748e-01,6.130530684948507988e-03,-1.986983860342167452e-02,2.961931444959974014e-02,1.624094397813009016e-01,1.624094397813009016e-01,6.130530684948507988e-03
5.115040349168856748e-01,1.624094397813009016e-01,2.000000000000000000e+00,2.000000000000000000e+00,1.250153029307428776e+00,2.250000000000000000e+00,1.016482296944104524e-01,7.250000000000000000e+00,2.125000000000000000e+00,8.808285321121571698e-01,1.012553475824544413e-02,-1.986983860342167452e-02,3.026527427701126635e-02,4.088701960752000319e-02,1.624094397813009016e-01,1.012553475824544413e-02
1.250153029307428776e+00,4.088701960752000319e-02,1.000000000000000000e+00,2.000000000000000000e+00,1.250153029307428776e+00,2.000000000000000000e+00,4.088701960752000319e-02,3.750000000000000000e+00,2.000000000000000000e+00,1.250153029307428776e+00,3.713297235717965931e-03,-4.268189681126521862e-03,1.025341162104693830e-02,4.088701960752000319e-02,4.088701960752000319e-02,3.713297235717965931e-03
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-4.423553798043253216e-04,-7.921067084745603282e-03,2.726268213740085967e-03,nan,6.634692938462749545e-03,-4.423553798043253216e-04
0.000000000000000000e+00,2.214200008222710903e-02,1.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,2.214200008222710903e-02,1.700000000000000000e+01,2.500000000000000000e-01,0.000000000000000000e+00,9.903415545490957140e-04,-7.921067084745603282e-03,5.517002786607993169e-03,2.214200008222710903e-02,2.214200008222710903e-02,9.903415545490957140e-04
7.504893182946293928e-01,5.211655876935394893e-02,2.000000000000000000e+00,2.500000000000000000e-01,7.504893182946293928e-01,1.500000000000000000e+00,3.712927942579052898e-02,7.000000000000000000e+00,8.750000000000000000e-01,7.504893182946293928e-01,4.172027751975260733e-03,-9.008339725432912282e-03,1.202315563196988679e-02,2.214200008222710903e-02,5.211655876935394893e-02,4.172027751975260733e-03
7.504893182946293928e-01,5.211655876935394893e-02,2.000000000000000000e+00,1.500000000000000000e+00,7.504893182946293928e-01,1.500000000000000000e+00,3.463718306899385424e-02,6.500000000000000000e+00,1.500000000000000000e+00,7.504893182946293928e-01,3.866260526072405092e-03,-9.278545179315755842e-03,1.166179571482955403e-02,1.715780736863375955e-02,5.211655876935394893e-02,3.866260526072405092e-03
