# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
3.773019240054370504e-01,6.938634082158579020e-02,4.000000000000000000e+00,7.500000000000000000e-01,1.937686161638156435e+00,2.625000000000000000e+00,3.602261039479404126e-02,1.937500000000000000e+00,1.687500000000000000e+00,1.157494042821796798e+00,6.550301942964492858e-04,-4.236048630048472319e-02,2.121620951162473540e-02,9.003363322744206698e-03,6.938634082158579020e-02,6.550301942964492858e-04
1.252001526212261351e-01,6.938634082158579020e-02,6.000000000000000000e+00,6.250000000000000000e-02,1.250025802674879616e+00,7.500000000000000000e-01,4.125599542588990337e-02,1.562500000000000000e+00,4.270833333333333148e-01,4.381892980994001041e-01,8.015429799110670994e-03,-2.326443377054587813e-02,1.857357016951771689e-02,2.632390898498115916e-02,6.938634082158579020e-02,8.015429799110670994e-03
6.250928937681161923e-02,4.136125021438008531e-02,8.000000000000000000e+00,6.250000000000000000e-02,1.687505221539179479e+00,1.125000000000000000e+00,2.543545010381098592e-02,1.875000000000000000e-01,4.464285714285714524e-01,5.359206971042997925e-01,4.873501125699880761e-03,-2.589867152898239766e-02,1.409628299931802928e-02,4.214533257326458227e-03,4.136125021438008531e-02,4.873501125699880761e-03
6.250928937681161923e-02,5.706835544207233823e-02,1.100000000000000000e+01,1.875000000000000000e-01,3.760670921733996752e-01,2.062500000000000000e+00,2.957787283264493375e-02,8.125000000000000000e-01,8.229166666666666297e-01,2.192495203933036985e-01,6.781678608522931015e-03,-3.973365041669030262e-02,1.927054097338105204e-02,4.214533257326458227e-03,5.706835544207233823e-02,6.781678608522931015e-03
1.250628175917593843e-01,5.706835544207233823e-02,9.000000000000000000e+00,3.125000000000000000e-01,3.760670921733996752e-01,2.062500000000000000e+00,3.359730833846105713e-02,1.500000000000000000e+00,7.708333333333333703e-01,2.296467322574917702e-01,5.784302626275228572e-03,-3.973365041669030262e-02,1.881342029102237023e-02,1.297535733854360274e-02,5.706835544207233823e-02,5.784302626275228572e-03
6.250043141183198037e-02,3.797857592638642643e-02,6.000000000000000000e+00,1.875000000000000000e-01,2.505118272869267249e-01,6.875000000000000000e-01,2.468791647903796974e-02,8.125000000000000000e-01,3.875000000000000111e-01,1.501454913054970641e-01,3.863870323916637588e-03,-3.736671881283459840e-02,1.170075419425936104e-02,1.230942468428697367e-02,3.797857592638642643e-02,3.863870323916637588e-03
6.250043141183198037e-02,3.797857592638642643e-02,9.000000000000000000e+00,1.875000000000000000e-01,2.505118272869267249e-01,5.000000000000000000e-01,2.324143549738375350e-02,3.062500000000000000e+00,3.229166666666666852e-01,1.459779737725213911e-01,3.900205018255325975e-03,-1.745786097799495451e-02,1.179584968759601026e-02,1.230942468428697367e-02,3.797857592638642643e-02,3.900205018255325975e-03
1.250532822685527790e-01,3.021098539430333574e-02,6.000000000000000000e+00,2.500000000000000000e-01,1.876865155958079012e-01,4.375000000000000000e-01,2.176557435577564092e-02,6.250000000000000000e-01,3.333333333333333148e-01,1.459395829973755276e-01,2.810510968470750215e-03,-1.745786097799495451e-02,9.220647877540264631e-03,1.339776238176337841e-02,3.021098539430333574e-02,2.810510968470750215e-03
2.515154453789840705e-01,5.045063446081954339e-02,4.000000000000000000e+00,5.625000000000000000e-01,2.515154453789840705e-01,5.625000000000000000e-01,2.316849506401341685e-02,6.875000000000000000e+00,5.625000000000000000e-01,2.515154453789840705e-01,2.004227981245074262e-03,-1.168662210838533611e-02,8.523505202593309113e-03,1.288939916574438627e-02,5.045063446081954339e-02,2.004227981245074262e-03
1.251416754673840004e-01,5.045063446081954339e-02,7.000000000000000000e+00,3.750000000000000000e-01,2.515154453789840705e-01,5.625000000000000000e-01,2.114684406488238216e-02,7.312500000000000000e+00,4.687500000000000000e-01,1.883285604231840216e-01,1.666058133728717762e-03,-1.638773365901258217e-02,1.026438696087488868e-02,1.040334166134115890e-02,5.045063446081954339e-02,1.666058133728717762e-03
