# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-6.270218603887947823e-04,-5.333490625652359540e-03,1.627185153050768633e-03,nan,3.291953782114998006e-03,-6.270218603887947823e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.641907204102430745e-04,-5.333490625652359540e-03,1.643550820466049183e-03,nan,3.291953782114998006e-03,-5.641907204102430745e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,5.595888253559985894e-05,-9.802532973335331690e-05,6.155160780515021174e-05,nan,1.223342585048303732e-04,5.595888253559985894e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,7.888816082247466208e-05,6.812531521949161117e-05,4.352089102688249713e-06,nan,8.333175095720513070e-05,7.888816082247466208e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,8.532606398929734332e-05,6.776483701265156867e-05,1.544312291331672934e-05,nan,1.251209306127876175e-04,8.532606398929734332e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,6.650219984728276534e-04,-3.096878263762148364e-03,1.479641985293570113e-03,nan,5.531957348786198381e-03,6.650219984728276534e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,5.123504858073106788e-04,-3.096878263762148364e-03,1.556943864436715870e-03,nan,5.531957348786198381e-03,5.123504858073106788e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-1.036969307454067900e-04,-5.159524947773164172e-04,2.203852979928709371e-04,nan,3.531916129815293459e-04,-1.036969307454067900e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,6.887123292512176143e-06,-2.240318580204458954e-06,5.580845570008367758e-06,nan,4.025717994537991729e-05,6.887123292512176143e-06
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,4.875318335613443130e-06,-5.330995210162114972e-06,3.955872516034782918e-06,nan,9.544367659319874519e-06,4.875318335613443130e-06
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,2.488983475459873246e-04,-7.520299862824320059e-04,4.827579422537756548e-04,nan,1.603940079084820169e-03,2.488983475459873246e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,2.285332456398142639e-04,-7.520299862824320059e-04,4.938407994149069400e-04,nan,1.603940079084820169e-03,2.285332456398142639e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.987611695871444860e-05,-8.662530220981956575e-05,2.215340835358534430e-05,nan,-4.824751871801424841e-06,-2.987611695871444860e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.206457597312347498e-05,-2.636914941156476289e-05,1.868153870288730998e-06,nan,-1.945794659330424281e-05,-2.206457597312347498e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-1.798167550978793728e-05,-3.031347742821211000e-05,1.081428003277182949e-05,nan,9.897840699935045450e-06,-1.798167550978793728e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,2.260648194928951835e-05,-1.400937983095928985e-04,1.380242114071667480e-04,nan,3.861546003072202637e-04,2.260648194928951835e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-6.314181166546750873e-04,-6.014206518962117443e-03,1.735342278760278493e-03,nan,3.047336113719767425e-03,-6.314181166546750873e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-6.444754360816450089e-04,-6.014206518962117443e-03,1.725981688727999674e-03,nan,3.047336113719767425e-03,-6.444754360816450089e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,5.470371975772464750e-05,-9.203351004161142157e-05,5.912135022555391938e-05,nan,1.167995799031817938e-04,5.470371975772464750e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,7.684475751071131468e-05,6.758006913032410523e-05,3.632801201780033264e-06,nan,8.095988272804888197e-05,7.684475751071131468e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,7.806391244219376962e-05,7.738598521789263884e-05,2.635942668237608856e-07,nan,7.836292346152795574e-05,7.806391244219376962e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,7.817101859505168066e-05,7.809984459017371705e-05,6.355686945699910954e-08,nan,7.832576979072136680e-05,7.817101859505168066e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,7.844145702805838658e-05,7.753121919229499781e-05,7.954215562449587433e-07,nan,8.049303008572650242e-05,7.844145702805838658e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,8.212203516342053971e-05,6.944033149491879442e-05,1.107503053556106718e-05,nan,1.106893149975807233e-04,8.212203516342053971e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,7.037682781803743671e-04,-2.679847466358298291e-03,1.530689276152531839e-03,nan,5.792588688336763880e-03,7.037682781803743671e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,4.517832837258997430e-04,-2.679847466358298291e-03,1.677175454966583438e-03,nan,5.792588688336763880e-03,4.517832837258997430e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-6.055236789043502276e-04,-5.459512950668932163e-03,1.615422696274419669e-03,nan,3.210673203329239556e-03,-6.055236789043502276e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-3.698465339374429339e-04,-5.459512950668932163e-03,1.630903166210186410e-03,nan,3.210673203329239556e-03,-3.698465339374429339e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,6.551093207689331628e-05,-3.905002897020004582e-05,4.053850516627035703e-05,nan,1.119492647319031420e-04,6.551093207689331628e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,7.903408640330192845e-05,7.118698796215738867e-05,3.013384713936792762e-06,nan,8.241922854690386657e-05,7.903408640330192845e-05
