# timestamp,driver,phasic,tonic
6.090039062500000000e+02,1.351398478023546623e+00,-1.434931085845381205e-02,1.365747788882000435e+00
6.090664062500000000e+02,1.347429880084073606e+00,-1.831701661917461976e-02,1.365746896703248225e+00
6.091289062500000000e+02,1.345022635263372957e+00,-2.072432115344513548e-02,1.365746956416818092e+00
6.091914062500000000e+02,1.344976184807745057e+00,-2.077178511805155559e-02,1.365747969925796612e+00
6.092539062500000000e+02,1.347840155923127226e+00,-1.790978321014158325e-02,1.365749939133268809e+00
6.093164062500000000e+02,1.353671446446637061e+00,-1.208141949568219964e-02,1.365752865942319261e+00
6.093789062500000000e+02,1.361887038735005717e+00,-3.869713521028828040e-03,1.365756752256034545e+00
6.094414062500000000e+02,1.371289738935158375e+00,5.528138957658246255e-03,1.365761599977500129e+00
6.095039062500000000e+02,1.380285365486735971e+00,1.451795447693537966e-02,1.365767411009800592e+00
6.095664062500000000e+02,1.387242202978185679e+00,2.146801572216316956e-02,1.365774187256022509e+00
6.096289062500000000e+02,1.390891525894060843e+00,2.510959527481038123e-02,1.365781930619250462e+00
6.096914062500000000e+02,1.390656006997173399e+00,2.486536399460304025e-02,1.365790643002570359e+00
6.097539062500000000e+02,1.386803753034027809e+00,2.100342672495969509e-02,1.365800326309068113e+00
6.098164062500000000e+02,1.380381544409336581e+00,1.457056196750805555e-02,1.365810982441828525e+00
6.098789062500000000e+02,1.372938513080019129e+00,7.115899776081846539e-03,1.365822613303937283e+00
6.099414062500000000e+02,1.366118184152817383e+00,2.829633543370846382e-04,1.365835220798480298e+00
6.100039062500000000e+02,1.361241712066493470e+00,-4.607094762049790404e-03,1.365848806828543260e+00
6.100664062500000000e+02,1.359012764756383218e+00,-6.850608540826863546e-03,1.365863373297210082e+00
6.101289062500000000e+02,1.359433546588139086e+00,-6.445375519428919731e-03,1.365878922107568005e+00
6.101914062500000000e+02,1.361946840191893937e+00,-3.948614970808117519e-03,1.365895455162702055e+00
6.102539062500000000e+02,1.365728240558923057e+00,-1.847338067744175305e-04,1.365912974365697474e+00
6.103164062500000000e+02,1.369999743327496189e+00,4.068261707856457576e-03,1.365931481619639731e+00
6.103789062500000000e+02,1.374234351969115808e+00,8.283373141501293446e-03,1.365950978827614515e+00
6.104414062500000000e+02,1.378183832702637224e+00,1.221236480993015405e-02,1.365971467892707070e+00
6.105039062500000000e+02,1.381755338077620632e+00,1.576238735961732473e-02,1.365992950718003307e+00
6.105664062500000000e+02,1.384840031976803498e+00,1.882460277021502648e-02,1.366015429206588472e+00
6.106289062500000000e+02,1.387215325112772568e+00,2.117641985122475923e-02,1.366038905261547809e+00
6.106914062500000000e+02,1.388589576550931737e+00,2.252619576496450726e-02,1.366063380785967230e+00
6.107539062500000000e+02,1.388765714001471308e+00,2.267685631853888495e-02,1.366088857682932423e+00
6.108164062500000000e+02,1.387815330418978643e+00,2.169999256345045424e-02,1.366115337855528189e+00
6.108789062500000000e+02,1.386140838073075532e+00,1.999801486623464797e-02,1.366142823206840884e+00
6.109414062500000000e+02,1.384358355197334634e+00,1.818703955737954736e-02,1.366171315639955086e+00
6.110039062500000000e+02,1.383039822718398426e+00,1.683900566044149727e-02,1.366200817057956929e+00
6.110664062500000000e+02,1.382441440478881400e+00,1.621011111494996548e-02,1.366231329363931435e+00
6.111289062500000000e+02,1.382365841076863333e+00,1.610299608654974790e-02,1.366262844990313585e+00
6.111914062500000000e+02,1.382239709183562981e+00,1.594439069663033948e-02,1.366295318486932642e+00
6.112539062500000000e+02,1.381379328752423641e+00,1.505063381945581646e-02,1.366328694932967824e+00
6.113164062500000000e+02,1.379314040474156178e+00,1.295112106655960105e-02,1.366362919407596577e+00
6.113789062500000000e+02,1.376012694993618668e+00,9.614758003619661153e-03,1.366397936989999007e+00
6.114414062500000000e+02,1.371910966573839596e+00,5.477273814486594006e-03,1.366433692759353002e+00
6.115039062500000000e+02,1.367740856213254030e+00,1.270724418416913082e-03,1.366470131794837117e+00
